Ano,Mes,Mes_txt,Produto,Descricao,Orçado,Realizado,Var_pct,Var_rs
2020,0,Total,18201,18201 - SALDO DA CARTEIRA DE CREDITO,474662060.17,509245146.98,7.28583337745892,34583086.81
2020,0,Total,1820101,1820101 - ADIANTAMENTOS A DEPOSITANTES,0,27150.11,0,27150.11
2020,0,Total,1820102,1820102 - CHEQUE CONFIANCA,3686933.39,2271821.67,-38.3818086824726,-1415111.72
2020,0,Total,1820103,1820103 - CHEQUE ESPECIAL BANESTES,4010235.52,1530492.73,-61.8353405338148,-2479742.79
2020,0,Total,1820104,1820104 - CREDITOS CEDIDOS,0,0,0,0
2020,0,Total,1820105,1820105 - CONTA GARANTIDA,11094192.44,6588712.68,-40.6111556507307,-4505479.76
2020,0,Total,1820106,1820106 - REESTRUTURACAO DE DIVIDAS,24916850.76,27147461.71,8.9522186069392,2230610.94999999
2020,0,Total,1820107,1820107 - CONSIGNADO,223731154.34,225453029.32,0.769617885841356,1721874.97999996
2020,0,Total,1820108,1820108 - MICROCREDITO,1337869.35,3150366.74,135.476411803589,1812497.39
2020,0,Total,1820109,1820109 - VENDOR,0,0,0,0
2020,0,Total,1820110,1820110 - COMPROR,0,0,0,0
2020,0,Total,1820111,1820111 - CREDITO PESSOAL,33807774.62,30682358.82,-9.24466586496666,-3125415.8
2020,0,Total,1820112,1820112 - CAPITAL DE GIRO,91305832.92,133658723.58,46.3857448155679,42352890.66
2020,0,Total,1820113,1820113 - BANESTES FINANCEIRA,0,0,0,0
2020,0,Total,1820114,1820114 - CARTAO VISA,7196757.6,5226856.47,-27.3720644696995,-1969901.13
2020,0,Total,1820115,1820115 - CARTAO BANESCARD,9396498.71,7027389.38,-25.2126819054286,-2369109.33
2020,0,Total,1820116,1820116 - TITULOS DESCONTADOS,11703884.14,12637075.86,7.97335063161351,933191.720000002
2020,0,Total,1820117,1820117 - F. PARA INVESTIMENTOS,1575242.79,25448.76,-98.3844547544318,-1549794.03
2020,0,Total,1820118,1820118 - F. VEICULOS,0,0,0,0
2020,0,Total,1820119,1820119 - F. BENS,3620348.83,6253317.23,72.7269255984927,2632968.4
2020,0,Total,1820120,1820120 - F. MOEDA ESTRANGEIRA,0,0,0,0
2020,0,Total,1820121,1820121 - F. RURAIS,0,0,0,0
2020,0,Total,1820122,1820122 - F. IMOBILIARIOS,47278484.76,47564941.92,0.605893275671043,286457.160000004
2020,0,Total,1820123,1820123 - LEASING,0,0,0,0
2020,0,Total,1820124,1820124 - CAMBIO,0,0,0,0
2020,0,Total,1820126,1820126 - F. INFRAESTRUTURA,0,0,0,0
2020,0,Total,1820127,1820127 - OPERACOES COM CARTAO DE CREDITO,0,0,0,0
